app_id,helpful,funny,date,is_recommended,hours,user_id,review_id
296630,0,0,2021-10-06,True,1.4,7837098,29073097
307690,0,0,2016-11-30,True,27.0,11519298,14510346
405830,8,7,2017-03-16,True,9.8,10317527,11592042
252330,6,13,2015-07-31,True,2.2,5688900,30257084
203770,0,0,2020-10-25,True,17.1,12483456,9101528
1275890,0,0,2020-07-29,True,1.4,9203646,30806322
272230,0,3,2017-11-21,True,80.0,11175509,40271318
39000,0,0,2020-06-20,True,1.0,10252054,39614254
307690,0,0,2020-04-14,True,5.8,5786294,26976164
384300,0,0,2020-01-23,True,101.8,9061294,37322206
516750,0,0,2020-01-26,True,186.0,13662857,16811641
686810,14,0,2021-12-14,False,332.9,3354218,22652586
1173770,0,0,2022-01-14,True,24.4,11761344,16187526
322330,0,0,2020-07-24,True,34.3,14145350,12859237
1229490,4,0,2020-10-27,True,99.5,9167016,4182797
266840,876,1496,2015-09-03,True,84.2,5559973,9678880
440,2,0,2016-12-07,True,27.2,7873840,22689574
374320,0,0,2022-03-08,True,64.2,395333,10590406
750920,0,0,2021-12-10,True,15.2,13237406,11109823
683320,2,0,2019-12-16,False,6.3,5132100,26930443
601150,0,0,2019-05-01,True,13.6,6991933,33708045
291860,12,43,2017-01-13,True,2.0,7830659,31943395
268540,0,0,2017-11-25,True,17.0,7645014,39793574
575050,3,0,2022-09-18,False,6.8,12211315,37320233
1604030,0,0,2022-06-29,False,106.9,8746819,13041142
991780,0,0,2019-04-03,True,812.1,10751436,37591379
1250410,0,0,2021-06-03,True,392.4,12356122,5973348
433850,0,0,2017-12-19,False,9.6,10275314,27784095
1293830,0,0,2021-12-01,True,449.3,10527288,6700572
384190,0,0,2016-08-02,True,4.1,11998607,30555410
107410,0,0,2017-01-30,True,732.9,8833597,23374306
271590,0,0,2021-04-03,True,227.9,13740017,3530705
582660,2,0,2017-07-03,True,1.7,5352587,20043661
400,0,0,2013-12-01,True,9.2,11264359,15539645
933110,0,0,2020-10-20,True,437.5,9941832,12873233
1344350,0,0,2020-08-01,True,1.3,7826524,29128129
1203220,0,0,2022-12-21,True,646.6,2372231,4523435
351090,3,0,2022-09-08,False,14.8,12879862,38010045
680420,2,0,2021-04-11,False,97.8,12141602,9239161
870780,0,0,2022-09-02,False,17.2,11757719,14787558
227300,0,0,2021-06-25,True,63.1,4719534,25149861
235540,3,0,2021-06-05,True,19.5,13284116,30637284
444200,0,0,2020-07-24,True,209.8,13135183,10696178
945360,0,0,2022-09-20,True,64.0,10388553,17955168
207140,0,0,2015-06-29,True,13.3,6846619,16385804
285900,0,0,2022-07-27,True,16.8,3593449,25013786
391220,0,0,2021-12-04,True,24.6,8287809,17301683
294100,0,0,2017-11-25,True,768.3,7936393,24590346
1506830,0,0,2022-08-17,False,165.0,12235995,40378709
40980,2,0,2018-09-07,False,43.1,9029886,19368631
552100,0,0,2022-04-26,True,36.8,14248104,22390463
253230,0,0,2020-02-18,True,45.6,12876702,18711104
233860,0,0,2019-12-23,True,135.9,14240322,2430932
287980,0,0,2021-03-30,True,59.0,8835112,17277592
49520,2,0,2015-10-07,True,42.1,5719610,14197596
797430,0,0,2020-12-28,True,18.0,2473478,41036300
39210,0,0,2021-11-21,True,60.3,14240794,3643476
482920,3,2,2019-06-28,True,93.5,4156112,33030103
1517290,0,0,2021-11-19,True,84.0,8184825,12548116
366760,0,0,2017-04-25,True,2.1,6022120,36881277
518790,0,0,2017-06-21,True,59.8,6530390,22013471
1599340,0,0,2022-02-21,True,15.9,2417947,3979222
581630,4,0,2018-06-01,True,5.0,6162792,40583758
1184370,0,0,2021-09-10,True,478.1,7576774,2007232
1285670,0,0,2020-11-21,True,0.2,9449282,31303645
459820,0,0,2021-01-26,True,331.8,10151419,33714177
1180380,0,0,2021-12-16,False,0.4,730723,9153103
268650,0,0,2020-11-05,True,442.9,4273811,22201624
220200,0,0,2015-11-13,True,107.0,4869836,14023439
291550,0,0,2019-11-02,True,228.1,3321053,18119148
294100,0,0,2022-01-03,True,373.4,6840375,3104757
632360,0,0,2019-07-04,True,3.7,4035508,6052465
233130,0,0,2015-10-05,True,17.6,5501559,30791244
294100,2,0,2020-12-08,True,820.2,7865381,699473
1216060,0,0,2022-06-29,True,38.0,13937640,29633907
3590,0,0,2021-06-04,True,12.0,11008358,36461014
213670,0,0,2021-02-18,True,12.6,5558418,10663221
960090,0,0,2021-03-30,True,199.7,9764960,21044084
548430,0,0,2021-06-24,True,90.8,6720712,16305312
1356280,0,0,2021-12-23,True,31.7,7644039,35533507
232430,0,0,2014-06-26,True,4.5,3492085,12067337
751780,0,0,2019-10-02,True,71.7,13559225,16376733
313730,0,0,2020-08-06,True,7.5,5375730,28831904
217920,6,0,2019-04-23,False,6.6,8569277,36694887
303210,0,0,2015-12-26,False,7.0,532076,38865124
460950,0,0,2019-12-04,True,4.5,5144476,16874213
255710,3,0,2017-10-26,False,21.0,11377431,1301512
730,4,0,2020-05-12,True,643.1,14056275,33935915
757330,0,0,2021-07-10,True,9.4,2708682,38011814
296830,0,0,2019-07-08,False,1.3,5292075,37580343
322330,0,0,2021-02-07,False,0.9,2390821,13210219
440,0,0,2019-11-10,True,492.2,6709477,21627633
286160,0,0,2022-02-28,True,60.2,4511880,13174258
972660,0,0,2020-10-02,True,38.8,2135732,8987653
287700,3,0,2015-09-12,False,33.3,6335529,18027638
319510,0,0,2021-06-29,True,1.3,993561,17781780
1170950,7,0,2022-01-30,False,646.8,11353237,7735141
730,4,3,2017-01-12,False,912.4,7701761,2688954
443810,0,0,2021-04-24,True,14.0,14219619,40468885
50300,0,0,2015-05-14,True,13.5,14132032,30173595
1217060,2,0,2022-06-04,True,30.5,10790497,13142536
361420,4,0,2020-06-24,False,38.6,6057277,14090383
997070,0,0,2020-09-04,True,153.5,7311167,20992577
1938090,0,0,2022-11-18,True,292.7,6033019,2282338
1293830,0,0,2021-06-28,True,42.9,11564820,11016821
570,0,0,2021-12-14,True,166.6,1531873,36083229
1850570,0,0,2022-03-30,True,29.0,5669384,22522668
48700,0,0,2021-11-28,True,33.0,351809,27455737
234140,0,0,2019-06-28,True,70.0,8859797,38745876
1332010,0,0,2022-07-20,True,6.2,4890673,3611948
1089980,0,0,2021-04-07,True,5.0,2268679,24594115
388410,0,0,2022-04-28,True,26.3,863270,30446230
379430,0,0,2019-07-01,True,8.8,5445796,36338637
1150690,241,2,2022-10-27,True,26.0,11635575,7031054
1164050,0,0,2021-07-13,True,2.0,3973295,40601476
814380,0,0,2022-11-21,True,88.6,2408349,34348302
967050,0,0,2020-01-17,True,3.0,14068423,38685477
47780,0,0,2016-11-22,True,42.1,5515379,15550994
234080,3,0,2020-03-14,True,21.2,2263240,11999145
41700,0,0,2020-05-03,True,11.0,10077055,30312419
332800,0,3,2019-06-12,True,5.1,9973535,19895187
1085660,2,3,2022-11-06,False,703.0,6748025,17629191
909090,0,0,2019-12-25,True,0.3,11584049,28393243
585420,0,0,2020-02-25,True,6.5,5001221,7138467
436150,0,0,2020-08-08,True,4.7,10820077,21304997
1426210,0,0,2021-04-28,True,21.9,619211,35985128
365590,0,0,2020-11-29,True,64.5,6422307,9861677
431960,0,0,2020-06-23,True,28.5,13610819,1757
601510,0,0,2020-01-06,True,125.9,6023795,20515626
1113000,0,0,2020-12-10,True,131.2,10114310,8103006
334230,0,0,2016-03-06,True,164.7,7420396,10029380
107410,0,0,2021-02-23,True,177.0,9997414,5270376
1091500,0,0,2020-12-26,True,229.8,7394516,6492589
239140,2,0,2022-01-20,True,14.6,462879,10729904
1599340,0,0,2022-07-08,False,127.8,12359381,582512
287630,0,0,2019-11-06,True,7.3,5720778,11850490
1082430,0,0,2022-01-23,True,1.6,1663843,17789719
489830,0,0,2021-06-10,True,560.6,7928073,23707697
8980,0,0,2014-06-22,True,32.1,11588965,15459583
1293830,0,0,2021-09-28,True,29.2,1395172,15195416
1293830,0,0,2022-07-13,True,52.6,7632419,7413152
814380,0,0,2021-07-08,True,103.7,7965710,15048527
582010,0,0,2020-05-23,True,138.5,12687165,3226743
704270,0,0,2020-04-03,True,25.8,9090635,15774325
207610,0,0,2017-09-12,True,13.9,5351789,31195222
47890,0,0,2020-03-27,True,300.3,1355997,7292346
632360,0,0,2019-12-08,True,413.1,13166205,3553836
593280,0,0,2017-12-25,True,1.9,10511698,35314441
1872860,0,0,2022-11-22,True,3.0,14137228,40526845
1293830,0,0,2021-08-06,True,120.6,4760208,7805531
1145360,0,0,2020-12-20,True,64.6,11584027,2869571
13540,0,0,2015-07-08,True,10.4,5807016,11501144
333930,0,0,2016-04-07,False,0.6,14013345,28805857
774171,11,0,2021-08-23,True,18.5,912669,22179933
